#ID	redshift	logMBH(Msun)	err_logMBH	logM*host(Msun)	err_logM*host  flag
#32 QSO sample		M_BH range [7.5, 10]							
CID1174     1.552  7.99  0.40  10.78  0.17  7
CID1281     1.445  7.75  0.40  10.14  0.17  7
CID206      1.483  8.53  0.40  10.59  0.39  7
CID216      1.567  7.85  0.40  10.78  0.10  7
CID237      1.618  8.29  0.40  10.91  0.13  7
CID255      1.664  8.27  0.40  10.81  0.17  7
CID3242     1.532  8.45  0.40  10.89  0.16  7
CID3570     1.244  7.89  0.40  10.71  0.10  7
CID452      1.407  8.30  0.40  10.86  0.10  7
CID454      1.478  8.31  0.40  10.84  0.10  7
CID50       1.239  8.42  0.40  10.80  0.28  7
CID543      1.301  8.19  0.40  10.43  0.17  7
CID597      1.272  7.81  0.40  10.46  0.21  7
CID607      1.294  8.53  0.40  10.75  0.22  7
CID70       1.667  8.27  0.40  10.72  0.15  7
LID1273     1.617  8.56  0.40  11.05  0.12  7
LID1538     1.527  8.47  0.40  10.86  0.12  7
LID360      1.579  8.45  0.40  10.81  0.11  7
XID2138     1.551  8.55  0.40  10.63  0.12  7
XID2202     1.516  8.46  0.40  10.88  0.15  7
XID2396     1.600  8.46  0.40  10.85  0.23  7
CDFS-1      1.630  8.79  0.40  10.45  0.17  7
CDFS-229    1.326  8.08  0.40  10.63  0.11  7
CDFS-321    1.570  8.46  0.40  11.25  0.25  7
CDFS-724    1.337  8.09  0.40   9.79  0.22  7
ECDFS-358   1.626  8.12  0.40  10.89  0.15  7
SXDS-X1136  1.325  8.33  0.40  10.49  0.13  7
SXDS-X50    1.411  7.94  0.40  10.54  0.14  7
SXDS-X717   1.276  8.20  0.40  10.51  0.12  7
SXDS-X735   1.447  8.44  0.40  10.92  0.16  7
SXDS-X763   1.412  8.47  0.40   9.68  0.36  7
SXDS-X969   1.585  8.20  0.40  10.76  0.20  7
